,Created At,Updated At,Closed At,Merged At,Details,Id
0,2020-02-10T11:26:11Z,2020-02-10T11:28:11Z,,,,9800119
1,2020-02-08T08:27:18Z,2020-02-10T11:28:15Z,,,,9800119
2,2020-02-04T13:01:08Z,2020-02-07T13:50:37Z,,,"I added a test that checks if acl’s are being honored. Your existing test ""test_acl_behaviour"" doesn't seem to check it in the right way.
It is associated with commit https://github.com/lizardfs/lizardfs/commit/e391f55014c263ab09b9c223c45bf23bb82ad961
 
It's very strange that this has not been created by LFS team already, as I believe it’s important to see in the future if it is broken and you didn't provide any documentation about your fix. It depends on what version of fuse you use/have and this is turn affects the OS that the user uses.
 
You continue with 3.13 that is unstable but don't provide tests for your fixes and documentation. When looking at your jenkins (http://jenkins.lizardfs.org/) it frightens me.",9800119
3,2018-09-03T07:48:36Z,2018-09-03T07:48:36Z,,,Allows setting `CSSERV_ADVERTISE_ADDR` so that the IP address advertised from a chunk server to a master can be different than the IP address the chunk server is listening on. This is mainly needed behind a NAT or when operating a chunk server within a Docker container. This resolves #721.,9800119
4,2017-11-10T13:18:04Z,2018-05-11T19:31:27Z,,,"By sending a SIGUSR2 to a chunkserver process, a scrub loop is started (or aborted).
Scrub will check all chunks for any inconsistencies (crc errors) and will mark any failed chunks as damaged, forcing LizardFS to fix them",9800119
5,2017-10-28T05:30:37Z,2017-11-13T08:18:04Z,,,"service(like chunkserver, metalogger, etc) start with boot does not working. so i reger to MooseFS configure to solve it! In my system, it works well.
PS: (some commit is my own change, i do not know how to remove it)",9800119
6,2017-02-27T11:26:05Z,2017-05-20T10:42:59Z,,,"Currently when reading chunks from chunkservers, there is no way to
prioritize fast chunkservers running on SSDs over slow chunkservers
running on spinning disk.

This patch-set adds a new configuration option (DISTANCE_PENALTY)
that allows the admin to set a distance penalty for each chunkserver.
This penalty will be added to *any* distance calculations made for the
chunkserver, which (depending on its value and whether my previous
distance calculation patch, #523, which is included as the first patch in this
patch-set, has been applied) will make the chunkserver a less likely
candidate for reads.

This patch-set is now in production at our school, where I've configured
all our spinning disks to have a penalty of 100, while all our SSDs have
a penalty of 0 (the default).  Our VMs (which have some chunks on spinning
disk due to changed goals of snapshots) are now *much* faster, because
they only read from the spinning disks if the SSDs are unavailable.

This patch-set does include a network protocol change that makes it
incompatible with older LizardFS installs.  If there's any way for the
chunkserver to tell older masters that they can ignore the
LIZ_CSTOMA_REGISTER_PENALTY packet, or for the chunkserver to detect that
the master doesn't recognize that packet, I would happily implement it.",9800119
7,2017-02-24T16:50:50Z,2018-05-18T20:54:49Z,,,"Currently distance is calculated as 0 (same machine), 1 (same rack) and 2
(different racks).  This doesn't allow any way of saying that rack 1 is
closer to rack 2 than it is to rack 42.

This patch changes the topology distance calculation by having different
racks represented by the difference between the racks + 1 (since a
distance of 1 means they're on the same rack).

Rack 2 now has a distance of 2 from rack 1 (abs(2-1)+1=2) and a distance
of 41 from rack 42 (abs(2-42)+1=41), which means clients on rack 2 will
prefer chunk servers on rack 1.

The implementation idea came from https://github.com/lizardfs/lizardfs/issues/269#issuecomment-106193955

I've built and tested this patch on our local 3.10.6 cluster, and it functions as advertised.

Signed-off-by: Jonathan Dieter <jdieter@lesbg.com>",9800119
8,2016-10-17T20:37:05Z,2016-10-18T12:34:23Z,,,"Increase inode reuse delay from 1 day to 30 days. This makes it much harder to run into inode reuse issues, as I did in my cluster.
",9800119
9,2015-05-19T21:25:26Z,2015-05-21T16:44:00Z,,,"This adds the enhancement mentioned in #250.  It also improves the debian packaging a little bit.
",9800119
