,Created At,Updated At,Closed At,Merged At,Details,Id
0,2019-09-30T00:13:36Z,2020-02-20T04:25:15Z,,,"Add qtcreator-generic IDE template.  Fixes #3046 

Since Qt Creator can default to running `make` for generic targets, this template also adds a `Makefile` that will allow Qt Creator to automatically build the project without having to manually modify the project settings to launch `platformio`.

This `qtcreator-generic` IDE template diverges from the `qtcreator` template in that it doesn't require a Qt Kit to be setup that contains `qmake`.  It also outputs compiler flags so that detail from custom scripts that alter the compiler flags can be captured by the code model in Qt Creator.  It does, however, lose the `HOMEDIR` isolation of include paths that the `qtcreator` template provides -- this is because I see no good way to do it with the generic project mechanism since it's not parsed by `qmake`.

Run with: `platformio init --ide qtcreator-generic`
",19606299
1,2020-03-26T07:20:29Z,2020-03-26T10:33:52Z,,,"### What was the problem?

This PR resolves #4938

### How was it solved?

- Update chain to return all the delegates in sorted order
- Create vote weight snapshot
  - If there are not enough standby delegates (less than 2), it chooses top 103
  - If there are more than 2 eligible standby delegate, all standby delegates is added

### How was it tested?
- Add unit test that all scenario ( not enough delegate, including zero vote weight, banned, and more than 2 eligible standby)
- Run the application and see genesis scenario works as expected
",50873641
2,2020-03-25T15:49:06Z,2020-03-26T13:22:47Z,,,"### What was the problem?

This PR resolves #4923

### How was it solved?

Add forger selection protocol specs with the new DPoS system
",50873641
3,2020-03-24T16:38:34Z,2020-03-26T08:49:20Z,,,"### What was the problem?

This PR resolves #4932

### How was it solved?

- Add network identifier while forging a block
- Add network identifier while validating forged block

### How was it tested?

- Updated tests (we already have signature validation check)
- Run application and see forged block is accepted",50873641
4,2020-03-24T12:00:59Z,2020-03-26T10:38:55Z,,,"### What was the problem?

This PR resolves #4930 

### How was it solved?

- Add a command to create hash function

### How was it tested?

- add unit test to check if the hash onion can be recalculated
- `./bin/run hash-onion`
- `./bin/run hash-onion --count=100000 --distance=2000 --output=./sample.json`
",50873641
5,2020-03-24T10:22:02Z,2020-03-26T10:38:40Z,,,"### What was the problem?

This PR resolves #4926 

### How was it solved?

- Add unlock transaction based on https://github.com/LiskHQ/lips/blob/master/proposals/lip-0023.md and https://github.com/LiskHQ/lips/blob/master/proposals/lip-0024.md

### How was it tested?

- Added test using protocol specs and unit test templates

### Additional Information
- This should be merged after #5048 
- It currently includes commits from #5048 
",50873641
6,2020-03-23T20:40:26Z,2020-03-26T10:38:18Z,,,"### What was the problem?

This PR resolves #4925 

### How was it solved?

- Add new vote transaction based on LIP https://github.com/LiskHQ/lips/blob/master/proposals/lip-0023.md

### How was it tested?

- All test based on protocol spec and unit test template created at #4918  are added
",50873641
7,2020-03-25T09:30:17Z,2020-03-25T14:06:38Z,,,"… operation and using CseHttpEntity to set localcontext

Follow this checklist to help us incorporate your contribution quickly and easily:

 - [ ] Make sure there is a [JIRA issue](https://issues.apache.org/jira/browse/SCB) filed for the change (usually before you start working on it).  Trivial changes like typos do not require a JIRA issue.  Your pull request should address just this issue, without pulling in other changes.
 - [ ] Each commit in the pull request should have a meaningful subject line and body.
 - [ ] Format the pull request title like `[SCB-XXX] Fixes bug in ApproximateQuantiles`, where you replace `SCB-XXX` with the appropriate JIRA issue.
 - [ ] Write a pull request description that is detailed enough to understand what the pull request does, how, and why.
 - [ ] Run `mvn clean install -Pit` to make sure basic checks pass. A more thorough check will be performed on your pull request automatically.
 - [ ] If this contribution is large, please file an Apache [Individual Contributor License Agreement](https://www.apache.org/licenses/icla.pdf).

---
",91674936
8,2020-03-24T12:26:13Z,2020-03-26T12:34:13Z,,,"…y and change outlog item name

Follow this checklist to help us incorporate your contribution quickly and easily:

 - [ ] Make sure there is a [JIRA issue](https://issues.apache.org/jira/browse/SCB) filed for the change (usually before you start working on it).  Trivial changes like typos do not require a JIRA issue.  Your pull request should address just this issue, without pulling in other changes.
 - [ ] Each commit in the pull request should have a meaningful subject line and body.
 - [ ] Format the pull request title like `[SCB-XXX] Fixes bug in ApproximateQuantiles`, where you replace `SCB-XXX` with the appropriate JIRA issue.
 - [ ] Write a pull request description that is detailed enough to understand what the pull request does, how, and why.
 - [ ] Run `mvn clean install -Pit` to make sure basic checks pass. A more thorough check will be performed on your pull request automatically.
 - [ ] If this contribution is large, please file an Apache [Individual Contributor License Agreement](https://www.apache.org/licenses/icla.pdf).

---
",91674936
9,2020-03-06T20:48:23Z,2020-03-08T06:36:33Z,,,"# Description

Please include a summary of the change and which issue is fixed if any. Please also include relevant motivation and context. List any dependencies that are required for this change.

Fixes # (issue)

## Type of change

Please delete options that are not relevant.

- [ ] Bug fix (non-breaking change which fixes an issue)
- [x] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to not work as expected)
- [ ] This change requires a documentation update

# How Has This Been Tested?

Please describe the tests that you ran to verify your changes. Provide instructions so we can reproduce. Please also list any relevant details for your test configuration

- [ ] Test A
- [ ] Test B

**Test Configuration**:

* Distribution:
* Webserver:
* PHP:
* etc.etc.:

# Checklist:

- [ ] I have performed a self-review of my own code
- [ ] I have commented my code, particularly in hard-to-understand areas
- [ ] I have made corresponding changes to the documentation
- [ ] My changes generate no new warnings
- [ ] I have added tests that prove my fix is effective or that my feature works
- [ ] New and existing unit tests pass locally with my changes

",3639119
