,Created At,Updated At,Closed At,Merged At,Details,Id
0,2020-03-26T18:33:11Z,2020-03-26T18:33:11Z,,,"@gavinr @jwasilgeo this PR removes the dependency on `leaflet-virtual-grid` and replaces it with a new `FeatureGrid` that makes a repeatable grid so we can have queries be cached similar to the JS API despite maps having different origins. The code is based on a simplified version of Leaflets [`GridLayer`](https://github.com/Leaflet/Leaflet/blob/master/src/layer/tile/GridLayer.js).

You can test this by:

1. Start the dev server an open the debug app
2. Open Dev Tools > Network and make sure caching is ENABLED
3. Refresh the page until you see the `query` calls until you see 304 responses this means the browser has cached the queries
4. Change the initial lat/lng of the map view and refresh the page. You should still see queries with 304 responses.

@gavinr @jwasilgeo can you validate that this works and that all samples still work. Ideally this should go out without any breaking changes.",10066825
1,2020-03-27T01:56:52Z,2020-03-27T02:04:06Z,,,"Closes #20172 

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
2,2020-03-25T19:25:20Z,2020-03-27T07:16:57Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

As discussed with @oliviertassinari this needs for date range picker to display currently selectable range end, according to material design guideline. And this prop is also can be useful for public users. ",23083156
3,2020-03-25T08:22:08Z,2020-03-26T16:51:14Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->
https://github.com/mui-org/material-ui/issues/20250
- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
4,2020-03-22T18:40:49Z,2020-03-26T11:02:15Z,,,"- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

Closes #20204",23083156
5,2020-03-22T16:35:55Z,2020-03-25T18:17:58Z,,,"- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

Closes #20154",23083156
6,2020-03-22T15:21:34Z,2020-03-23T21:43:32Z,,,"I've added FramerX wrappers for:

- Stepper
<img width=""600"" alt=""Screenshot 2020-03-22 at 15 14 56"" src=""https://user-images.githubusercontent.com/784018/77253160-e26df400-6c58-11ea-8fbf-fb8172938f3a.png"">

- Nested List
<img width=""498"" alt=""Screenshot 2020-03-22 at 15 14 32"" src=""https://user-images.githubusercontent.com/784018/77253162-e3068a80-6c58-11ea-92ba-d25c6f52eb01.png"">

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
7,2020-03-22T11:40:08Z,2020-03-25T18:18:41Z,,,"- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

Closes #19882",23083156
8,2020-03-21T14:31:07Z,2020-03-25T18:19:48Z,,,"- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

In addition to making the tree view agree with aria practices this pull request also resolves some other outstanding issues.

[TreeItem hijacks focus when typing on an input box that updates it](https://github.com/mui-org/material-ui/issues/19882)
This code is present in this [codesandbox](https://codesandbox.io/s/wandering-brook-fd11w) that replicates the one in the issue.  The steps below that result in the issue behaviour as seen in the [original sandbox](https://codesandbox.io/s/bold-hill-rw9y5) are no longer an issue.

1. Focus apples
2. Type b in the input ( to remove apples )
3. Remove the search - **apples is focused**

[TreeView programmatic focus does not change tab indices](https://github.com/mui-org/material-ui/issues/20141) inconsistent behaviour is no longer an issue as it selection and not last focus that determines what is focused when the tree receives focus ( as per aria practices ).

[TreeView cannot be controlled by keyboard after item removal](https://github.com/mui-org/material-ui/issues/20204) is also no longer an issue.

Note that there is no longer a need for tabbable state.

Remarks on the tests :
Tests that conditionally render a tree item have to render a span - due to [bug](https://github.com/mui-org/material-ui/issues/20154)
I corrected the tests regarding this focus behaviour - but perhaps the tests should be in TreeView.test.js instead of TreeItem.test.js.

Remarks on the code :
The aria practices does not describe what should happen if the tree receives focus and the selected tree item is in a collapsed parent.  I decided to expand the tree to make it visible for now ( I have not raised the event - if this behaviour is agreed I will change ), the alternative is to focus the first item.
https://github.com/tonyhallett/material-ui/blob/bebcef3ff8da24ee3daa04eed50d095da585ef89/packages/material-ui-lab/src/TreeView/TreeView.js#L483

The clean up of selected can probably be improved upon.
https://github.com/tonyhallett/material-ui/blob/bebcef3ff8da24ee3daa04eed50d095da585ef89/packages/material-ui-lab/src/TreeView/TreeView.js#L514

When a focused item is removed I have decided to refocus the tree view.  I can change this to making the TreeView tabbable again.
https://github.com/tonyhallett/material-ui/blob/bebcef3ff8da24ee3daa04eed50d095da585ef89/packages/material-ui-lab/src/TreeView/TreeView.js#L574

You can see this code on this [sandbox](https://codesandbox.io/s/confident-golick-j2nnt)",23083156
9,2020-03-19T12:38:49Z,2020-03-20T08:59:27Z,,,"In continuation of https://github.com/mui-org/material-ui/pull/20093

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
10,2020-03-17T17:56:09Z,2020-03-25T20:18:12Z,,,"Fixes #20125 

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
11,2020-03-17T17:17:38Z,2020-03-25T18:20:12Z,,,"- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

Closes #20140",23083156
12,2020-03-16T17:26:05Z,2020-03-25T18:23:52Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

Closes #20092",23083156
13,2020-03-15T19:56:43Z,2020-03-22T20:38:07Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->
Closes #19975 
This PR adds a new disabled prop to TreeItem
![image](https://user-images.githubusercontent.com/19830660/76709491-e4c2d200-66dd-11ea-8538-f06fcb4c570d.png)

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
14,2020-03-12T15:37:35Z,2020-03-22T11:23:49Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
15,2020-03-12T13:09:28Z,2020-03-24T23:32:45Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
16,2020-03-05T12:52:32Z,2020-03-06T14:48:21Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
17,2020-03-03T23:53:25Z,2020-03-22T12:40:25Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [ ] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

Fixes #19882",23083156
18,2020-02-26T22:50:29Z,2020-03-26T20:14:36Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [ ] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

If this takes another 3 months.... 😆 

Closes #17407",23083156
19,2020-02-25T03:01:03Z,2020-03-22T12:40:24Z,,,"Fixes #19757 

The menu is jumping to the bottom of the page because the `contentAnchor`'s offset becomes negative after scrolling. I propose to cache the first computed offset and not recalculate it again while the popover is open.

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
",23083156
20,2020-02-23T05:26:15Z,2020-02-27T11:01:37Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->
- [ x ] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).
fix #19245 
fix update position problem when content scrollbar changed
",23083156
21,2020-02-21T10:37:46Z,2020-02-26T07:53:47Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).


This is based on #4476.

Screenshot of the new example:
![image](https://user-images.githubusercontent.com/10603631/75027265-86b81b80-549e-11ea-8395-4b9f94ebaacd.png)
",23083156
22,2020-02-09T06:29:00Z,2020-02-25T23:22:22Z,,,"<!-- Thanks so much for your PR, your contribution is appreciated! ❤️ -->

- [x] I have followed (at least) the [PR section of the contributing guide](https://github.com/mui-org/material-ui/blob/master/CONTRIBUTING.md#sending-a-pull-request).

This is the updated drawer docs that discussed in this [issue](https://github.com/mui-org/material-ui/issues/19557)

closes #19108
closes #19557",23083156
